id,y,y_pred,neuron
642,2.5,0.0,32
642,1.85,1.2612,33
642,3.65,2.70625,34
642,0.85,0.0,35
642,2.4,1.51296,36
94,4.3,3.44218,0
94,2.25,2.33746,1
94,4.05,3.95345,2
94,0.35,0.26211,3
94,8.95,6.43341,4
94,1.6,1.29117,5
94,0.95,1.08947,6
94,2.9,2.82757,7
94,7.3,5.17206,8
94,5.3,3.70983,9
94,3.5,2.70549,10
94,4.3,2.54421,11
94,7.85,4.66144,12
94,3.5,2.66272,13
94,4.2,2.87143,14
94,7.1,2.92037,15
94,4.1,3.73518,16
94,0.8,0.867016,17
94,6.0,6.07588,18
94,2.5,2.11141,19
94,5.25,3.1604,20
94,6.55,3.90808,21
94,9.4,6.04733,22
94,2.0,1.72153,23
94,2.8,0.0,24
94,3.95,2.02551,25
94,4.9,3.83554,26
94,2.35,1.76688,27
94,5.6,3.39626,28
94,1.6,0.0,29
94,4.9,2.43733,30
94,4.4,0.0,31
94,1.25,0.0,32
94,0.55,0.848967,33
94,3.9,2.76391,34
94,1.05,0.0,35
94,2.35,1.4515,36
597,4.35,3.28867,0
597,0.75,0.973581,1
597,3.15,3.20371,2
597,0.55,0.179041,3
597,9.45,5.79608,4
597,1.2,0.867733,5
597,1.2,1.05325,6
597,2.1,1.81508,7
597,6.5,5.24322,8
597,5.35,3.26534,9
597,3.95,2.87701,10
597,2.75,2.06868,11
597,8.45,6.03453,12
597,2.8,1.8833,13
597,3.75,2.32406,14
597,2.35,2.21366,15
597,3.85,3.72766,16
597,0.2,0.14363,17
597,4.15,3.61879,18
597,2.5,1.71924,19
597,3.7,2.75436,20
597,4.9,3.40345,21
597,7.1,5.17643,22
597,1.75,1.20253,23
597,2.35,0.0,24
597,2.5,1.76662,25
597,6.7,3.83916,26
597,1.6,1.64593,27
597,7.6,5.25348,28
597,0.95,0.0,29
597,3.0,1.92378,30
597,4.2,0.0,31
597,1.95,0.0,32
597,2.9,2.47878,33
597,4.35,2.44179,34
597,1.2,0.0,35
597,2.2,1.49253,36
180,1.65,1.31773,0
180,0.2,0.671114,1
180,1.5,1.98728,2
180,0.2,0.258746,3
180,7.1,5.36718,4
180,1.5,0.787336,5
180,0.6,0.583554,6
180,0.3,1.44319,7
180,4.25,4.64664,8
180,1.75,2.29926,9
180,2.7,2.51631,10
180,1.6,1.42052,11
180,4.3,5.0426,12
180,1.6,1.48987,13
180,2.8,2.29592,14
180,1.15,1.37715,15
180,0.45,1.18221,16
180,0.0,0.0598675,17
180,1.8,2.543,18
180,1.95,1.40707,19
180,3.75,2.56696,20
180,3.9,3.47113,21
180,4.1,3.06849,22
180,0.3,0.975403,23
180,1.25,0.0,24
180,0.85,1.07069,25
180,4.55,3.34543,26
180,1.15,0.81088,27
180,4.35,4.93421,28
